Age;P01;P1;P3;P5;P10;P15;P25;P50;P75;P85;P90;P95;P97;P99;P999
179;4.998;5.475;5.775;5.942;6.208;6.394;6.681;7.253;7.877;8.236;8.489;8.879;9.143;9.664;10.632
180;5.007;5.485;5.786;5.952;6.218;6.405;6.692;7.265;7.89;8.25;8.503;8.894;9.158;9.68;10.651
181;5.016;5.494;5.796;5.962;6.229;6.416;6.704;7.277;7.904;8.264;8.517;8.909;9.173;9.696;10.669
182;5.025;5.504;5.806;5.972;6.24;6.427;6.715;7.289;7.917;8.277;8.531;8.924;9.189;9.713;10.687
183;5.034;5.514;5.816;5.983;6.25;6.438;6.726;7.302;7.93;8.291;8.546;8.939;9.204;9.729;10.705
184;5.043;5.523;5.825;5.993;6.261;6.449;6.738;7.314;7.943;8.305;8.56;8.953;9.219;9.745;10.723
185;5.052;5.532;5.835;6.003;6.271;6.459;6.749;7.326;7.956;8.318;8.574;8.968;9.234;9.761;10.741
186;5.061;5.542;5.845;6.013;6.282;6.47;6.76;7.338;7.969;8.332;8.588;8.983;9.25;9.777;10.759
187;5.07;5.551;5.855;6.023;6.292;6.481;6.771;7.35;7.982;8.345;8.602;8.997;9.264;9.793;10.777
188;5.078;5.561;5.865;6.033;6.302;6.491;6.782;7.361;7.995;8.359;8.615;9.012;9.279;9.809;10.794
189;5.087;5.57;5.874;6.043;6.313;6.502;6.793;7.373;8.008;8.372;8.629;9.026;9.294;9.825;10.812
190;5.095;5.579;5.884;6.053;6.323;6.512;6.804;7.385;8.02;8.385;8.643;9.04;9.309;9.841;10.83
191;5.104;5.588;5.893;6.062;6.333;6.523;6.815;7.397;8.033;8.399;8.657;9.055;9.324;9.856;10.847
192;5.113;5.597;5.903;6.072;6.343;6.533;6.825;7.408;8.045;8.412;8.67;9.069;9.339;9.872;10.864
193;5.121;5.607;5.913;6.082;6.353;6.544;6.836;7.42;8.058;8.425;8.684;9.083;9.353;9.887;10.882
194;5.13;5.616;5.922;6.092;6.363;6.554;6.847;7.431;8.071;8.438;8.697;9.097;9.368;9.903;10.899
195;5.138;5.625;5.932;6.101;6.373;6.564;6.857;7.443;8.083;8.451;8.711;9.111;9.382;9.918;10.917
196;5.146;5.634;5.941;6.111;6.383;6.574;6.868;7.454;8.095;8.464;8.724;9.125;9.397;9.934;10.934
197;5.155;5.642;5.95;6.12;6.393;6.584;6.879;7.466;8.108;8.477;8.737;9.14;9.411;9.949;10.951
198;5.163;5.651;5.959;6.13;6.403;6.595;6.889;7.477;8.12;8.49;8.751;9.153;9.426;9.965;10.968
199;5.171;5.66;5.969;6.139;6.413;6.605;6.9;7.488;8.132;8.503;8.764;9.167;9.44;9.98;10.985
200;5.179;5.669;5.978;6.149;6.422;6.615;6.91;7.5;8.144;8.515;8.777;9.181;9.454;9.995;11.002
201;5.188;5.678;5.987;6.158;6.432;6.625;6.92;7.511;8.157;8.528;8.79;9.195;9.468;10.01;11.019
202;5.196;5.686;5.996;6.167;6.442;6.635;6.931;7.522;8.169;8.541;8.803;9.209;9.483;10.025;11.036
203;5.204;5.695;6.005;6.177;6.451;6.644;6.941;7.533;8.181;8.553;8.816;9.222;9.497;10.04;11.053
204;5.212;5.704;6.014;6.186;6.461;6.654;6.951;7.544;8.193;8.566;8.829;9.236;9.511;10.055;11.069
205;5.22;5.712;6.023;6.195;6.471;6.664;6.961;7.555;8.205;8.578;8.842;9.249;9.525;10.07;11.086
206;5.228;5.721;6.032;6.204;6.48;6.674;6.972;7.566;8.217;8.591;8.855;9.263;9.539;10.085;11.103
207;5.236;5.729;6.041;6.213;6.49;6.683;6.982;7.577;8.228;8.603;8.868;9.276;9.553;10.1;11.119
208;5.244;5.738;6.05;6.222;6.499;6.693;6.992;7.588;8.24;8.616;8.881;9.29;9.567;10.114;11.136
209;5.251;5.746;6.059;6.231;6.508;6.703;7.002;7.599;8.252;8.628;8.893;9.303;9.58;10.129;11.152
210;5.259;5.755;6.067;6.241;6.518;6.712;7.012;7.609;8.264;8.64;8.906;9.316;9.594;10.144;11.169
211;5.267;5.763;6.076;6.249;6.527;6.722;7.022;7.62;8.275;8.653;8.919;9.33;9.608;10.158;11.185
212;5.275;5.772;6.085;6.258;6.536;6.731;7.032;7.631;8.287;8.665;8.931;9.343;9.622;10.173;11.202
213;5.283;5.78;6.094;6.267;6.546;6.741;7.041;7.642;8.299;8.677;8.944;9.356;9.635;10.188;11.218
214;5.29;5.788;6.102;6.276;6.555;6.75;7.051;7.652;8.31;8.689;8.956;9.369;9.649;10.202;11.234
215;5.298;5.796;6.111;6.285;6.564;6.76;7.061;7.663;8.322;8.701;8.969;9.382;9.662;10.217;11.25
216;5.306;5.805;6.119;6.294;6.573;6.769;7.071;7.673;8.333;8.713;8.981;9.395;9.676;10.231;11.266
217;5.313;5.813;6.128;6.302;6.582;6.778;7.08;7.684;8.345;8.725;8.993;9.408;9.689;10.245;11.282
218;5.321;5.821;6.136;6.311;6.591;6.788;7.09;7.694;8.356;8.737;9.006;9.421;9.703;10.259;11.298
219;5.328;5.829;6.145;6.32;6.6;6.797;7.1;7.705;8.367;8.749;9.018;9.434;9.716;10.274;11.314
220;5.336;5.837;6.153;6.328;6.609;6.806;7.109;7.715;8.379;8.761;9.03;9.447;9.729;10.288;11.33
